"","id","description"
"4508","famwklst","WoR'st way to org family work life with under school age child"
"4509","careprov","Who should provide childcare for under school age child"
"4510","carecost","Who should pay for costs of care for under school age child"
"4511","eldhelp","Who should provide help for elderly"
"4512","eldcost","Who should pay for help for elderly"
"4513","hhclean1","Who does household cleaning"
"4514","wkndact","Who decides weekend activities"
"4515","tiredhm1","How often too tired to do housework"
"4516","jobvsfa1","How often jobtakes too much time to fulfill family resp"
"4517","tiredwk1","How often too tired from housework to do job well"
"4518","famvswk1","How often difficult to conc at work because family resp"
"4519","wkkidscl","Did R work outside home with child under school age"
"4520","wkyngscl","Did R work outside home after child started school"
"4521","wkkidscs","Did partner work outside home with child under school age"
"4522","wkyngscs","Did partner work outside home after child started school"
"4523","spfalook","Hours spouse spends looking after family members"
"4524","splive","How long been living with spouse"
"4525","knowschd","How far in advance know work schedule"
"4526","usetech","Percentage of time use tech"
"4527","stress12","Stress management program last 12 months"
"4528","hyperten","Told have hypertension or high blood pressure"
"4529","arthrtis","Told have arthritis or rheumatism"
"4530","diabetes","Told have diabetes"
"4531","depress","Told have depression"
"4532","weight","R weighs how much"
"4533","height","R is how tall"
"4534","ntwkhard","Past week not work hard enough"
"4535","misswork","Miss work for health past 30 days"
"4536","workfor1","R work for whom"
"4537","valgiven","Total donations past year R and immediate family"
"4538","bettrlfe","Science makes our lives better"
"4539","esop","R is member of esop"
"4540","defpensn","R has defined benefit pension plan"
"4541","trdestck","Company stock publicly traded"
"4542","citworld","I am a citizen of the world"
"4543","shortcom","World better if America acknowledged shortcomings"
"4544","immcult","Immigrants undermine American culture"
"4545","immeduc","Legal immigrants should have same education as Americans"
"4546","letin1a","Number of immigrants nowadays should be"
"4547","immassim","What statement about immigrants matches view"
"4548","patriot1","Patriotic feelings strengthen America's place in world"
"4549","patriot2","Patriotic feelings lead to intolerance in America"
"4550","patriot3","Patriotic feelings are needed for America to remain united"
"4551","patriot4","Patriotic feelings lead to negative feelings towards immigrants"
"4552","polinter","Expressed political views on internet past year"
"4553","polnews","How often use media to get political news"
"4554","gvtrghts","Govt should respect democratic rights"
"4555","crimlose","People convicted of serious crimes lose citizen rights"
"4556","ntcitvte","Long-term residents should vote"
"4557","notvote","Citizens have right not to vote"
"4558","hlthall","Healthcare provided for everyone"
"4559","leftrght","How left or right in politics"
"4560","wkcontct","How often contacted about work when not working"
"4561","talkspvs","Comfortable talking with supervisor about Personal"
"4562","effctsup","Supervisor effective solve work/Personal conflicts"
"4563","aidslook","A health-look person may have AIDS"
"4564","aidscndm","Condom can reduce AIDS"
"4565","hivvac","There is a vaccine that can prevent HIV"
"4566","hivkiss","Kiss can spread HIV"
"4567","pubdef","Should media publish defense plans"
"4568","pubecon","Should media publish economic plans?"
"4569","obeylaw","Should people obey laws without exceptn?"
"4570","protest1","Allow public meetings protesting govt"
"4571","protest2","Allow publications protesting govt"
"4572","protest3","Allow demonstrations protesting govt"
"4573","protest4","Allow occupation of govt office"
"4574","protest5","Allow damage of govt buildings"
"4575","protest6","Allow national anti-govt strike"
"4576","revspeak","Allow revolutionary public meetings"
"4577","revtch15","Allow revolutionaries to teach children"
"4578","revpub","Allow revolutionaries to publish books"
"4579","racspeak","Allow racists to hold public meetings"
"4580","ractch15","Allow racists to teach 15 yr. olds"
"4581","racpub","Allow racists to publish books"
"4582","crimtail","Should police tail a known criminal?"
"4583","crimtap","Should police tap phone of a criminal?"
"4584","crimread","Should police open mail of a criminal?"
"4585","crimhold","Should police detain a known criminal?"
"4586","mantail","Should police tail a suspect?"
"4587","mantap","Should police tap phone of a suspect?"
"4588","manread","Should police open mail of a suspect?"
"4589","manhold","Should police detain a suspect?"
"4590","verdict","Worse type of judicial mistake"
"4591","databank","Computer data threat to individual privacy"
"4592","progtax","How much income tax should rich pay?"
"4593","eqincome","Govt should redistribute wealth"
"4594","oprich","Child of rich has better opportunity"
"4595","opprof","Child of profssnl has better opportunity"
"4596","opfamily","Family bkgd determines success in U.S."
"4597","fecolop","College opportunities for women"
"4598","fejobop","Job opportunities for women"
"4599","feinc","Income for women vs. men with same bkgd"
"4600","fehlpbus","Govt should aid women seeking jobs"
"4601","fehlpcol","Govt should aid women seeking higher ed"
"4602","fehlpjob","Women should be given preference in jobs"
"4603","hsbasics","School subjects: reading, writing, math"
"4604","hssexed","School subjects: sex education"
"4605","hsrespct","School subjects: respect for authority"
"4606","hslibart","School subjects: history, liter., arts"
"4607","hsjudge","School subjects: good judgment"
"4608","hsjobtr","School subjects: job training"
"4609","hssci","School subjects: science and technology"
"4610","hscaring","School subjects: concern for others"
"4611","hsorder","School subjects: discipline and order"
"4612","colop","Should chances for college be changed?"
"4613","aidneedy","Govt money for low income students"
"4614","aidsmart","Govt money for high achieving students"
"4615","aidavg","Gov $ for stdnts with avg inc and grades"
"4616","kiddrugs","Govt intervene: child uses drugs"
"4617","kidskips","Govt intervene: child skips school"
"4618","kidout","Govt intervene: child stays out late"
"4619","kidneedy","Govt intervene: child is neglected"
"4620","kidbeat","Govt intervene: child is abused"
"4621","kidhlth","Govt intervene: child not givn med trtmt"
"4622","kidedpar","Govt intervene: child not sent to school"
"4623","kidxfilm","Govt intervene: chld allowed to see porn"
"4624","beltup","Govt should require use of seat belts"
"4625","nosmoke","Gov should prohibit smoking in pub areas"
"4626","mustret","Govt should enforce mandatory retirement"
"4627","poleff1","Public has little control over politics"
"4628","poleff2","Not worth talking to politicians"
"4629","poleff3","Avg person can influence politicians"
"4630","poleff4","Avg person can influence local govt"
"4631","poleff5","People like me have much to say re govt"
"4632","poleff6","Avg person can influence govt decisions"
"4633","poleff7","Govt is generally responsive to public"
"4634","poleff8","I am usually interested in local elections"
"4635","poleff9","People can control world affairs"
"4636","poleff10","The world is getting better"
"4637","setwage","Govt control of wages"
"4638","setprice","Govt control of prices"
"4639","cutgovt","Cuts in govt spending"
"4640","makejobs","Govt create new jobs"
"4641","lessreg","Less govt regulation of business"
"4642","hlphitec","Govt support for new products and tech"
"4643","savejobs","Govt support for declining industries"
"4644","cuthours","Reduction in length of work week"
"4645","spenviro","Govt spending on environment"
"4646","sphlth","Govt spending on health"
"4647","sppolice","Govt spending on law enforcement"
"4648","spschool","Govt spending on education"
"4649","sparms","Govt spending on defense"
"4650","spretire","Govt spending on retirement benefits"
"4651","spunemp","Govt spending on unemployment benefits"
"4652","sparts","Govt spending on culture and the arts"
"4653","inctax","Amount of tax on R's household income"
"4654","bustax","Amount of tax on business and industry"
"4655","infljobs","Top priority of govt: inflation or jobs?"
"4656","laborpow","Power of labor unions in R's country"
"4657","buspow","Power of business and industry"
"4658","govtpow","Power of federal govt"
"4659","ownpower","Govts role in electric power"
"4660","ownmass","Govts role in local mass transportation"
"4661","ownsteel","Govts role in the steel industry"
"4662","ownbanks","Govts role in banking and insurance"
"4663","ownautos","Govts role in automobile industry"
"4664","jobsall","Govts resp: provide jobs for all"
"4665","pricecon","Govts resp: keep prices under control"
"4666","hlthcare","Govts resp: provide hlth care for sick"
"4667","aidold","Govts resp: provide for the elderly"
"4668","aidindus","Govts resp: assist industrial growth"
"4669","aidunemp","Govts resp: provide for the unemployed"
"4670","equalize","Govts resp: reduce income differences"
"4671","aidcol","Gov. should assist low-income college student"
"4672","aidhouse","Gov. should provide housing to poor"
"4673","protstrs","Feel about people protest gov"
"4674","revoltrs","Feel about people want to overthrow gov"
"4675","racists","Feel about people who are racist"
"4676","unionsok","How good union for the country"
"4677","polint","Your interest in politics"
"4678","rprtst1","Would you attend a public meeting"
"4679","rprtst3","Would you go on a protest march-demonstration"
"4680","rprtst15","How many times be a public meeting past 5 yrs"
"4681","rprtst35","How many times gone on a protest march past 5 yrs"
"4682","grnlaws","Gov resp tomake industry less damaging"
"4683","poleff11","Don't have any say about what the government does"
"4684","poleff12","Even best politician cannot have much impact"
"4685","poleff13","Have a pretty good understanding of issues"
"4686","poleff14","Elections a good way of making gov pay attention"
"4687","poleff15","Most people better informed about politics than I"
"4688","poleff16","People elected to congress try to keep promises"
"4689","poleff17","Most government administratoR's can be trusted"
"4690","demworks","How well the system of democracy in America works?"
"4691","taxspend","Choice between reducing taxes or spending more"
"4692","runpower","Electric power should mainly be run by private"
"4693","runhosp","Hospitals should mainly be run by private"
"4694","runbanks","Banks should mainly be run by private"
"4695","cutdebt","Should the government cut debt?"
"4696","malive","Mother still alive?"
"4697","mavisit","How often visit mother"
"4698","matime","Travel time to mother"
"4699","macall","Contact with mother"
"4700","palive","Father still alive?"
"4701","pavisit","How often visit father"
"4702","patime","Travel time to father"
"4703","pacall","Contact with father"
"4704","sisnum","Number of adult sister's"
"4705","sisvisit","How often visit sister"
"4706","sistime","Travel time to sister"
"4707","siscall","Contact with sister"
"4708","bronum","Number of adult brothers"
"4709","brovisit","How often visit brother"
"4710","brotime","Travel time to brother"
"4711","brocall","Contact with brother"
"4712","daunum","Number of adult daughteR's"
"4713","dauvisit","How often visit with daughter"
"4714","dautime","Travel time to daughter"
"4715","daucall","Contact with daughter"
"4716","sonnum","Number of adult sons"
"4717","sonvisit","How often visit son"
"4718","sontime","Travel time to son"
"4719","soncall","Contact with son"
"4720","posslqy","Relationship status and cohabitation or not"
"4721","grparnum","Number of grandparents"
"4722","grkidnum","Number of adult grandchildren"
"4723","unaunum","Number of aunts and uncles"
"4724","inlawnum","Number of in-laws"
"4725","relnum","Number of adult nieces, nephews, etc"
"4726","relmost","Adult relative R has most contact with"
"4727","relvisit","How often visit most contacted rel"
"4728","reltime","Travel time to most contacted rel"
"4729","relcall","Contact with most contacted rel"
"4730","frinum","Number of close friends"
"4731","friwork","Number of close friends are coworkers"
"4732","frineigh","Number of close friends are neighbors"
"4733","frisex","Sex of closest friend"
"4734","frivisit","How often visit closest friend"
"4735","fritime","Travel time to closest friend"
"4736","fricall","Contact with closest friend"
"4737","chores1","Help for household tasks #1"
"4738","chores2","Help for household tasks #2"
"4739","sick1","Help if sick #1"
"4740","sick2","Help if sick #2"
"4741","borrow1","Borrow money #1"
"4742","borrow2","Borrow money #2"
"4743","upset1","Help for marital problem #1"
"4744","upset2","Help for marital problem #2"
"4745","down1","Help for depression #1"
"4746","down2","Help for depression #2"
"4747","change1","Help regarding important change #1"
"4748","change2","Help regarding important change #2"
"4749","livecom","Length of residence in city, town, comm"
"4750","livehome","Length at present dwelling"
"4751","matime1","How long does it take to get to where mother live"
"4752","sibnum","Number of adult sister or brother"
"4753","sibmost","Do R have the most contact with sister or brother"
"4754","sibvisit","How often does R visit this sister or brother"
"4755","sibcall","How often does R contact by telephone or letter"
"4756","kidnum","Number of children age 18 and older"
"4757","kidmost","Do R have the most contact with son or daughter"
"4758","kidvisit","How often does R visit this son or daughter"
"4759","kidcall","How often does R contact by telephone or letter"
"4760","pavisit1","How often does R visit father"
"4761","pacall1","How often does R contact father by telephone"
"4762","mavisit1","How often does R visit mother"
"4763","macall1","How often does R contact mother by telephone"
"4764","uncaunts","How often does R contact uncles or aunts"
"4765","cousins","How often does R contact cousin"
"4766","parslaw","How often does R contact parents-in-law"
"4767","sibinlaw","How often does R contact brothers or sister's-in-law"
"4768","niecenep","How often does R contact nieces and nephews"
"4769","godparts","How often does R contact god-parents"
"4770","cowrkfrd","Number of close friends at work place"
"4771","neifrd","Number of close friends who live near R"
"4772","bestfrd","Number of other close friends"
"4773","bstvisit","How often does R visit best friend"
"4774","bstcall","How often does R call best friend"
"4775","grppol","Participated in activity of political party"
"4776","grpunion","Participated in activity of a trade union"
"4777","grpchurh","Participated in activity of church past 12 months"
"4778","grpsport","Participated in sports group past 12 months"
"4779","grpchrty","Participated in a charitable org past 12 months"
"4780","grpnei","Participated in a neighbor association past 12 months"
"4781","grpoth","Participated in other associations past 12 months"
"4782","sick1a","Who does R turn to first for help when sick"
"4783","sick2a","Who does R turn to second for help when sick"
"4784","borrow1a","Who does R turn to first when large money needed"
"4785","borrow2a","Who does R turn to second when large money needed"
"4786","down1a","Who does R turn to first for help when depressed"
"4787","down2a","Who does R turn to second for help when depressed"
"4788","helphwrk","Helped someone with hwork during past 12 months"
"4789","lentto","Lent money to another person past 12 months"
"4790","talkedto","Talked with someone depressed past 12 months"
"4791","helpjob","Helped somebody to find a job past 12 months"
"4792","learnjob","How did R find out about present work"
"4793","frdthink","Should close friend be someone intelligent"
"4794","frdhelps","Should close friend be someone who helps R"
"4795","frdknows","Should close friend be someone who understands R"
"4796","frdenjoy","Should close friend be someone who is enjoyable"
"4797","kidpars","Do adult children have duty to look after parent"
"4798","firstyou","Should take care of oneself and ones family first"
"4799","helpfrds","Should better off ppl help less well-off friend"
"4800","usefrds","Ok to have frds just bc they are of use to R"
"4801","aidkids","Govts resp provide childcare"
"4802","othfrd","Number of other close friends"
"4803","demands","R feels that family make too many demands on R"
"4804","trustpeo","There are only a few ppl R can trust completely"
"4805","wantbest","R is sure that other ppl want the best for R"
"4806","advantge","Other ppl will take advantage of R if not careful"
"4807","comyear","How long Has R lived in city where R lives now"
"4808","localgvt","How likely can R do sth for improvmnt in community"
"4809","opwlth","Need wealthy family to get ahead"
"4810","oppared","Need educated parents to get ahead"
"4811","opeduc","Need good education to get ahead"
"4812","opambit","Need ambition to get ahead"
"4813","opable","Need natural ability to get ahead"
"4814","ophrdwrk","Need to work hard to get ahead"
"4815","opknow","Need to know right people to get ahead"
"4816","opclout","Need political connections to get ahead"
"4817","oprace","Need to be right race to get ahead"
"4818","oprelig","Need to be right religion to get ahead"
"4819","opregion","Must be from right region to get ahead"
"4820","opsex","Need to be right sex to get ahead"
"4821","oppol","Must have certain polviews to get ahead"
"4822","goodlife","Standard of living of R will improve"
"4823","incentiv","Pay differences needed for motivation"
"4824","inequal1","Extra pay -> people take responsibility"
"4825","inequal2","Extra pay -> workers acquire skills"
"4826","inequal3","Inequality exists for benefit of rich"
"4827","inequal4","Extra pay -> people earn degrees"
"4828","inequal5","Pay differences -> American prosperity"
"4829","inequal6","Everyone benefits from business profits"
"4830","inequal7","Inequality due to lack of solidarity"
"4831","paymason","How much R thinks bricklayer makes"
"4832","paydoc","How much R thinks doctor makes"
"4833","payclerk","How much R thinks bank clerk makes"
"4834","payowner","How much R thinks shop owner makes"
"4835","payowner","How much R thinks shop owner makes"
"4836","payexec","How much R thinks corporate head makes"
"4837","payskill","How much R thinks skilled worker makes"
"4838","payfarm","How much R thinks farm worker makes"
"4839","paysec","How much R thinks secretary makes"
"4840","paybus","How much R thinks bus driver makes"
"4841","payunskl","How much R thinks unskilled wrkr makes"
"4842","paycabnt","How much R thinks cabinet member makes"
"4843","paylaw","How much R thinks lawyeR's make"
"4844","paysales","How much R thinks salesclerks make"
"4845","payfctry","How much R thinks owner of a large factory makes"
"4846","payowner","How much R thinks shop owner makes"
"4847","payowner","How much R thinks shop owner makes"
"4848","payjudge","How much R thinks supreme court justice makes"
"4849","payrocc","How much R thinks workers in own occupation make"
"4850","givmason","How much ought mason make?"
"4851","givdoc","How much ought doctor make?"
"4852","givclerk","How much ought bank clerk make?"
"4853","givowner","How much ought shop owner make?"
"4854","givowner","How much ought shop owner make?"
"4855","givexec","How much ought corporate head make?"
"4856","givskill","How much ought skilled worker make?"
"4857","givfarm","How much ought farm worker make?"
"4858","givsec","How much ought secretary make?"
"4859","givbus","How much ought bus driver make?"
"4860","givunskl","How much ought unskilled worker make?"
"4861","givcabnt","How much ought cabinet member make?"
"4862","givlaw","How much ought lawyer make"
"4863","givsales","How much ought salesclerk make"
"4864","givfctry","How much ought owner of a large factory makes"
"4865","givowner","How much ought shop owner make?"
"4866","givowner","How much ought shop owner make?"
"4867","givjudge","How much ought justice make"
"4868","givrocc","How much ought worker in own occupation make"
"4869","incgap","Income differentials in usa too big"
"4870","goveqinc","Govmnt should reduce inc differentials"
"4871","govedop","Govmnt should help poor attend college"
"4872","govjobs","Govmnt should provide jobs"
"4873","govless","Govmnt should spend less on poor"
"4874","govunemp","Govmnt should provide unemp benefits"
"4875","govminc","Govmnt should provide minimum income"
"4876","taxrich","Taxes on high income people too high"
"4877","taxmid","Taxes on middle income people too high"
"4878","taxpoor","Taxes on low income people too high"
"4879","taxshare","Should rich pay bigger share of taxes?"
"4880","conwlth","Conflict between poor and rich in usa?"
"4881","conclass","Working and middle classes in conflict?"
"4882","conjobs","Employed and unemployed in conflict"
"4883","conunion","Workers and management in conflict?"
"4884","conurban","FarmeR's and city people in conflict?"
"4885","consoc","Conflict between social top and bottom"
"4886","conage","Conflict between young and old"
"4887","occmobil","Status of job higher than Father's?"
"4888","pajob","Type of job held by father when R 16"
"4889","paslf","Was father self-employed?"
"4890","firstjob","Type of first job held by R"
"4891","firstslf","First job self-employment?"
"4892","lastjob","Type of current job held by R"
"4893","lastslf","Current job self-employment?"
"4894","rewrdeff","Effort rewarded in America"
"4895","rewrdint","Intelligence and skill rewarded in America"
"4896","corrupt","Must be corrupt to get to top in America"
"4897","earndes","R deserves earnings"
"4898","ldcgap","Differences between rich and poor too large"
"4899","ldctax","Rich countries pay tax to help poor countries"
"4900","richhlth","Rich buy better health care than poor"
"4901","richeduc","Rich buy better education than poor"
"4902","payresp","How much pay dependent on responsibility"
"4903","payedtrn","How much pay dependent on educ and training"
"4904","paysup","How much pay dependent on supervising others"
"4905","payfam1","How much pay dependent on family to support"
"4906","paychild","How much pay dependent on children"
"4907","paydowel","How much pay dependent on work well done"
"4908","payhard","How much pay dependent on working hard"
"4909","justpay","Is R's pay just"
"4910","soctype1","What type of society is America"
"4911","soctype2","What type of society Does R prefer"
"4912","famrnk","Rank in society of R"
"4913","unsklrnk","Rank in society of unskilled workers"
"4914","execrnk","Rank in society of chairmen"
"4915","pasup","R's father supervisor"
"4916","books16","Books in home of R age 16"
"4917","mawrkwrm","Working mom can have a warm rel w kids"
"4918","kidsuffr","Preschooler will suffer if mom works"
"4919","famsuffr","Family life suffers if mom works f-t"
"4920","hapifwrk","Woman and family happier if she works"
"4921","homekid","Most women really want a home and kids"
"4922","housewrk","Being housewife as fulfilling as paid work"
"4923","fejobind","Job is best way for woman to be indep"
"4924","twoincs","Husb & wife should contrib to family income"
"4925","hubbywrk","Husb shld work wife shld look after home"
"4926","ilikejob","R would enjoy job if money wasn't needed"
"4927","wrknokid","Shld mom work aftr marriage, before kids?"
"4928","wrkbaby","Shld woman with preschooler work?"
"4929","wrksch","Shld woman work after youngest in school?"
"4930","wrkgrown","Shld woman work after kids leave home?"
"4931","daycare1","Public daycare center ok for kid < 3 yrs?"
"4932","daycare2","Private daycare center ok for kid < 3 yrs?"
"4933","daycare3","Babysitter ok for kid < 3 yrs?"
"4934","daycare4","Friend or neighbor ok for kid < 3 yrs?"
"4935","daycare5","Relative ok for kid < 3yrs?"
"4936","femarry","Way of life recommendation for woman"
"4937","memarry","Way of life recommendation for man"
"4938","marhappy","Married people happier than unmarried"
"4939","marfree","Personal freedom more impt than marriage"
"4940","marfin","Financial security main advtg of marriage"
"4941","markids","Main purpose of marriage = kids"
"4942","marnomar","Bad marriage better than none at all"
"4943","marlegit","Those wanting kids should get married"
"4944","marmakid","Single ma can raise kids well as couple"
"4945","marpakid","Single pa can raise kids well as couple"
"4946","mardiv","Marriage not taken seriously when div is easy"
"4947","marhomo","Homosexuals should have right to marry"
"4948","martype","Marital type"
"4949","numkids","What is ideal number of kids for family"
"4950","nokids","Desirability of no-kid family"
"4951","onekid","Desirability of one-kid family"
"4952","twokids","Desirability of two-kid family"
"4953","threkids","Desirability of three-kid family"
"4954","fourkids","Desirability of 4+ kid family"
"4955","kidtrble","Kids more trouble than they are worth"
"4956","kidjoy","Kids are life's greatest joy"
"4957","kidnofre","Kids interfere with parents' freedom"
"4958","kidless","Kidless marriage is incomplete"
"4959","kidfin","Better not to have kids due to $ burden"
"4960","kidempty","Kidless people lead empty lives"
"4961","divnow","How easy is it to get a divorce today"
"4962","divnokid","How easy should divorce be for kidless"
"4963","divifkid","How easy should divorce be if kids"
"4964","divkids","Kids better if bad marrge ended by div"
"4965","divwife","Wife better if bad marrge ended by div"
"4966","divhubby","Husb better if bad marrge ended by div"
"4967","mawork14","Did mom work before R was 14 yrs old"
"4968","evdiv","Has R ever been divorced"
"4969","spevdiv","Has R's current spouse been divorced"
"4970","cohabit","Did R live with spouse before marriage"
"4971","rwrknokd","Did R work aftr marrge but before kids"
"4972","rwrkbaby","Did R work when kid was preschooler"
"4973","rwrksch","Did R work after youngest in school"
"4974","rwrkgrwn","Did R work after kids left home"
"4975","earnsmor","Hubby or wife earns more $"
"4976","fewrksup","Do most women work to support family"
"4977","hubbywk1","Men should earn money women keep house"
"4978","mrmom","Gender role reversal hurts family"
"4979","meovrwrk","Men hurt family when focus on work too much"
"4980","singlpar","Single parents can raise kids as well as two"
"4981","cohabok","Living together as an acceptable option"
"4982","cohabfst","People should live together before marriage"
"4983","divbest","Divorce as best solution to marital problems"
"4984","divifkd1","Should feuding parents stay together for kids"
"4985","divnokd1","Childless couples stay married even with problems"
"4986","livnowed","Did R live with partner before marriage"
"4987","mapaid","Should working women have paid maternity leave"
"4988","chldcare","Should families get benefits if both parents work"
"4989","abchoose","Should a woman get an abortion for any reason"
"4990","teensex1","Morality of teens having sex"
"4991","sexhar","R experienced sexual harassment"
"4992","fambudgt","How couples monitor budget"
"4993","laundry","Who in household does laundry"
"4994","repairs","Who in household does small repaiR's"
"4995","caresick","Who in household cares for sick in family"
"4996","shopfood","Who in household shops for groceries"
"4997","dinner","Who in household plans meals"
"4998","spwknokd","Did spouse work after marriage before kids"
"4999","spwkbaby","Did spouse work with young children"
"5000","spwrksch","Did spouse work with school age children"
"5001","spwkgrwn","Did spouse work after children left home"
"5002","mehhwork","Men ought to do more hh work than they do now"
"5003","mekdcare","Men ought to do more childcare than they do now"
"5004","laundry1","Who in household does laundry"
"5005","repairs1","Who in household does small repairs"
"5006","caresik1","Who in household cares for sick in family"
"5007","shop1","Who in household shops for groceries"
"5008","clean1","Who in household does cleaning"
"5009","cooking1","Who in household prepares the meals"
"5010","rhhwork","How many hours a week does R spend on hh work"
"5011","sphhwork","How many hours a week does spouse on hh wrk"
"5012","hhwkfair","Sharing of hh work between R and spouse"
"5013","hhwkdis","How often R and spouse disagree sharing of hh wrk"
"5014","deckids","Who makes decision about how to bring up children"
"5015","weekend","Who has final say about choosing weekend activity"
"5016","buythngs","Who has final say about buying things for home"
"5017","timehome","Run out of time before getting things done at home"
"5018","strsshme","Life at home is rarely stressful"
"5019","timework","Run out of time before getting things done at work"
"5020","strsswrk","Job Is Rarely stressful"
"5021","tiredhme","Come home from work too tired to do the chores"
"5022","jobvsfam","Difficult to fulfill fam responsibility bc of job"
"5023","tiredwrk","Arrived at work too tired to function bc of hhwork"
"5024","famvswrk","Difficult to concentrate wrk bc of fam responsibility"
"5025","happy7","How happy R is"
"5026","satjob7","Job satisfaction in general"
"5027","satfam7","Family satisfaction in general"
"5028","fewknokd","Women should work outside when no kids"
"5029","twoincs1","Both men and women should contribute to income"
"5030","earnshh","Hubby or wife earns more dollars"
"5031","timepdwk","Time R would spend on paid work"
"5032","timehhwk","Time R would spend on household work"
"5033","timefam","Time R would spend on family"
"5034","timefrnd","Time R would spend on friends"
"5035","timeleis","Time R would spend on leisure"
"5036","timerelx","Time R would spend relaxing"
"5037","wrkearn","Job is just a way to earn money"
"5038","wrkenjoy","Enjoy job even if $ not needed"
"5039","wrkimp","Work is persons most impt. activity"
"5040","hwduties","Is R mainly respons.for hh chores?"
"5041","yrsfirm","Importance of tenure to pay"
"5042","dowell","Importance of performance to pay"
"5043","expernc","Importance of experience to pay"
"5044","paysame","Importance of standard rates to pay"
"5045","ageemp","Importance of age to pay"
"5046","sexemp","Importance of gender to pay"
"5047","famresp","Importance of family resps. to pay"
"5048","educemp","Importance of educ & qualif. to pay"
"5049","dk","Don't know response to pay items"
"5050","bosswrks","Management & workers always in conflict"
"5051","strngun","Strong unions needed to protect workers"
"5052","secjob","Importance of job security in a job"
"5053","hiinc","Importance of high pr income in a job"
"5054","promotn","Importance of advancement in a job"
"5055","leisure","Importance of leisure time in a job"
"5056","intjob","Importance of interesting work in a job"
"5057","wrkindp","Importance of independent work in a job"
"5058","hlpoths","Importance of helping others in a job"
"5059","hlpsoc","Importance of social usefulness in a job"
"5060","flexhrs","Importance of flexible hrs. in a job"
"5061","unpeople","Rank of no people contact when unemployed"
"5062","unmoney","Rank of shortage of money when unemployed"
"5063","unslfcon","Rank of loss of confide. when unemployed"
"5064","unrespct","Rank of loss of respect when unemployed"
"5065","unfamten","Rank of family tensions when unemployed"
"5066","unjobexp","Rank of how to spend time when unemployed"
"5067","unbored","Rank of boredom when unemployed"
"5068","undk","Don't know response to unemployment items"
"5069","empself","Does R prefer self-employment or not ?"
"5070","smallbig","R preference re: firm size in"
"5071","indusoth","R preference re: manufacture service, etc"
"5072","privgovt","R preference re: private public sector"
"5073","workweek","Does R work at least 10 hrs/wk"
"5074","wantjob","Would R like a job now"
"5075","findjob","Could R find a job <unemployed R's>"
"5076","iwrkhard","How hard Does R work at job"
"5077","hrsmoney","R preference re: work hrs and money"
"5078","ryrsfirm","Importance of tenure"
"5079","rdowell","Importance of performance"
"5080","rpaysame","Importance of standard rates"
"5081","rexpernc","Importance of experience"
"5082","rageemp","Importance of age"
"5083","rfamresp","Importance of family resps."
"5084","reducemp","Importance of educ. & formal qual."
"5085","rdk","Don't know response to unemployment items"
"5086","rsecjob","R's job is secure"
"5087","rhiinc","R's income is high"
"5088","rpromotn","R has opportunity to advance"
"5089","rleisure","R's job leaves much leisure time"
"5090","rintjob","R's job is interesting"
"5091","rwrkindp","R can work independently"
"5092","rhlpoths","R helps others in job"
"5093","rhlpsoc","R's job is useful to society"
"5094","rflexhrs","R's job has flexible hrs."
"5095","xhaustn","How often does work exhaust r"
"5096","physwrk","How often must R do physical work"
"5097","stress","How often Does R find work stressful"
"5098","boredom","How often Is R bored at work"
"5099","danger","How often Does R work in dangerous conds"
"5100","unhlthy","How often Does R work in unhealthy conds"
"5101","unpleznt","How often Does R work in unpleasant conds"
"5102","planwrk","How much can R plan daily work"
"5103","findwork","Could R find a job <employed R's>"
"5104","bossemps","Quality of mgmnt-employee rels: R's firm"
"5105","cowrkers","Quality of rels among workers: R's firm"
"5106","jobsat","How satisfied Is R with his/her job"
"5107","supervis","Does R supervise others at work in main job"
"5108","supnum","Number of workers R supervises"
"5109","moonlite","Does R have a second job"
"5110","othhrs","Hours R spends at other job<s>"
"5111","numsites","Does R's firm have more than one location"
"5112","localnum","Number of employees: R's work site"
"5113","totalnum","Number of employees: R's entire firm"
"5114","employer","Does R employ others"
"5115","numemply","Number of persons R employs"
"5116","paydojob","How important job well done in deciding pay"
"5117","payfam","How important family responsibility in deciding p"
"5118","payeduc","How important education in deciding pay"
"5119","paytime","How important be long with the firm in deciding p"
"5120","techjobs","New techs increase number of jobs"
"5121","techwork","New techs make work more interesting"
"5122","wantjob1","Which job would you prefer"
"5123","worknow","Are you currently working for pay"
"5124","sethours","Who set working hours"
"5125","placewrk","Where do you work"
"5126","wktenure","Describe your present job situation"
"5127","useskill","How much past skills can you make use in present"
"5128","edcskill","How important school in developing skills"
"5129","jobskill","How important training in developing skills"
"5130","helporg1","Willing to work harder for the firm"
"5131","prideorg","I am proud working for my firm"
"5132","chngwork","I would change my job for something else"
"5133","stayorg3","I would turn down job offering more pay"
"5134","proudwrk","I am proud of the type of work I do"
"5135","absent","How many days absent from work past 6 month"
"5136","leavejob","How likely will try to find another firm"
"5137","worryjob","Do you worry about losing job"
"5138","evjob","Have you ever had a paid job for 1 year or+"
"5139","yrjobend","When did your last paid job end"
"5140","whyjbend","Main reason your job end"
"5141","wantjob2","Would like to have a job now or in the future"
"5142","getjob","How likely you would find a job"
"5143","lookjob","Are you looking for a job"
"5144","pubagncy","Registered at a public employment agency"
"5145","priagncy","Registered at a private employment agency"
